commentID,status,commentSequence,userID,userDisplayName,userLocation,userTitle,commentBody,createDate,updateDate,approveDate,recommendations,replyCount,editorsSelection,parentID,parentUserDisplayName,depth,commentType,trusted,recommendedFlag,permID,isAnonymous,articleID,word_count
110838218,approved,110838218,63349916,arp,"east lansing, mi",,Salute skol sante and all the rest When it comes to wine advice I rely on Mr Asimov I rely on Cameron Diaz as much as I rely on Roger Federer for advice on watches and coffee makers and on Tiger Woods for cars I resolve to be even more dismissive of celebrity endorsements,2020-12-31 21:05:22,2021-01-04 22:02:29,2020-12-31 21:05:23,202,1,False,,,1,comment,0,0,110838218,False,nyt://article/efcaf652-ffad-5b4e-9f17-4fd9aff5b1ba,54
110848795,approved,110848795,86701159,Formally from Queens,01060,,arp I agree but sometimes the pitchman is right Roger Federers dreamy hawking of the Jura line of coffee makers is an example of an exception product promoted by an exception athleteand they are both Swiss of course,2021-01-01 16:36:06,2021-01-02 05:16:03,2021-01-01 16:36:07,2,0,False,110838218.0,arp,2,userReply,0,0,110848795,False,nyt://article/efcaf652-ffad-5b4e-9f17-4fd9aff5b1ba,38
110839289,approved,110839289,81788327,Kel,Canberra,,Rarely has anybody sought to advocate for wine or other alcoholic beverages simply as pleasures because they taste and feel good Ive never understood why this is especially too when the same sentiment is applied to fuel When I see heath article after health article with experts baffled as to why people eat certain foods I wonder why they talk about hidden psychological trauma instead of the simple fact that certain foods are pleasurable to eat and are done for that reason Its blatantly obvious that people eat and drink for pleasure and that pleasureseeking behaviour is a base drive for people yet we try to explain such behaviour without reference to that It seems little more than puritan moralism couched in scientific language,2020-12-31 22:04:54,2021-01-04 17:06:53,2020-12-31 22:04:55,77,2,False,,,1,comment,0,0,110839289,False,nyt://article/efcaf652-ffad-5b4e-9f17-4fd9aff5b1ba,124
110841094,approved,110841094,23473180,Sarah,Colorado,,Kel Yes so much this We are trained by diet culture to justify everything we eat and drink as if they only reason to ever do so is purely for fuel or nutrition Its a sad state of society that were moralizing around food with such nearreligious fervor and grouping ourselves by what we will and wont eat No wonder there is so much disordered eating in this country,2021-01-01 00:01:33,2021-01-04 16:28:25,2021-01-01 00:01:34,21,0,False,110839289.0,Kel,2,userReply,0,0,110841094,False,nyt://article/efcaf652-ffad-5b4e-9f17-4fd9aff5b1ba,69
110848812,approved,110848812,57557274,DJS,New York,,Sarah One of the first lessons that my mother taught me was You can never be too rich or too thin She added Fat people cant have class I was too young to know what class meant but I got the message She added that I looked like a butterball Photos of me as a child reveal that I may have been about five pounds overweight I put myself on a diet I told my best friends mother that I didnt like pizza when offered pizza at my best friends birthday party I recall feeling so sad after I returned from the party I loved pizza Of course I had not eaten the birthday cake Of course I went on to develop a fullblown eating disorder Three of my four siblings suffer from disordered eating Those whom I know who have eating disorders have them as a result of their parents obsession with food weight body image the parents criticism of childrens bodies weight parents attempts to control childrens food intake and weight Thin people are viewed as superior to overweight individuals in American society Fat shaming fuels disordered eating and full blown eating disorders Parents who attempt to control their childrens food intake can be sure that the children will find that food elsewhere should start saving for eating disorder treatment and for the expensive dental work that will be needed if their children go on to become bulimic,2021-01-01 16:37:22,2021-01-04 15:21:43,2021-01-01 16:37:23,16,0,False,110841094.0,Kel,2,userReply,0,0,110848812,False,nyt://article/efcaf652-ffad-5b4e-9f17-4fd9aff5b1ba,244
110839380,approved,110839380,1748158,Di,California,,The best commentary Ive seen on whether wine is a positive good was from Robert Capon Episcopal priest and cookbook author who said God put sugar inside the grape and yeasts on the outside and meant it I imagine there might be people with food allergies who might benefit from the information on processing,2020-12-31 22:09:57,2021-01-04 22:38:57,2020-12-31 22:09:58,31,0,False,,,1,comment,0,0,110839380,False,nyt://article/efcaf652-ffad-5b4e-9f17-4fd9aff5b1ba,54
110841008,approved,110841008,43215175,Voter,Chicago,,Wine is good But if you have asthma watch out for the sulfites even in socalled clean wines Too much sulfite can trigger an asthma attack,2020-12-31 23:54:05,2021-01-04 04:34:30,2020-12-31 23:54:06,6,0,False,,,1,comment,0,0,110841008,False,nyt://article/efcaf652-ffad-5b4e-9f17-4fd9aff5b1ba,26
110839646,approved,110839646,55717377,Butch Burton,Atlanta,,Years ago when I was marketing and sales director for a large firm making and selling wine Our master wine maker Dick Peterson said when one of our wines was very good its in the bottle All of this palaver about being a clean wine is irrelevant,2020-12-31 22:23:15,2021-01-04 01:11:31,2021-01-01 01:15:46,4,0,False,,,1,comment,0,0,110839646,False,nyt://article/efcaf652-ffad-5b4e-9f17-4fd9aff5b1ba,47
110840625,approved,110840625,84463884,Jim,"Sanibel, FL",,Interesting I thought only nasty Republicans ignored science For your information there is no scientific evidence that organic anything is better for your health Check it out,2020-12-31 23:28:33,2021-01-02 19:44:29,2021-01-01 01:15:48,2,2,False,,,1,comment,0,0,110840625,False,nyt://article/efcaf652-ffad-5b4e-9f17-4fd9aff5b1ba,27
110842511,approved,110842511,63119682,,NYC,,Jim One key difference between organic and nonorganic products is the types of fertilizers weed control products pest control products etc Conventional products use chemical and synthetic herbicides and pesticides,2021-01-01 02:05:31,2021-01-04 19:51:12,2021-01-01 02:05:31,22,0,False,110840625.0,Jim,2,userReply,0,0,110842511,False,nyt://article/efcaf652-ffad-5b4e-9f17-4fd9aff5b1ba,30
